komentar,komentar_bersih,setelah_preprocesing,setelah_normalisasi,setelah_normalisasi1
pecat aja dpr nya kalo nyeleneh. ruwet2 ngga jelas. kalo eks bermasalah sama hukum pula.,pecat aja dpr nya kalo nyeleneh ruwet2 ngga jelas kalo eks bermasalah sama hukum pula,pecat aja dpr nya kalo nyeleneh ruwet2 ngga kalo eks bermasalah hukum,pecat aja dpr nya kalo nyeleneh ruwet2 ngga kalo eks masalah hukum,pecat dpr kalo nyeleneh ruwet2 ngga kalo eks hukum
"pada pusing ini itu, 1 permasalahanya duit duit,  klo emang niat pgn  bangun bangsa kerja dgn ikhlas tanpa mengharapkan tunjangan yg waw dan sahkan perampasan aset 😅",pada pusing ini itu 1 permasalahanya duit duit klo emang niat pgn bangun bangsa kerja dgn ikhlas tanpa mengharapkan tunjangan yg waw dan sahkan perampasan aset,pusing 1 permasalahanya duit duit klo emang niat pgn bangun bangsa kerja dgn ikhlas mengharapkan tunjangan yg waw sahkan perampasan aset,pusing 1 permasalahanya duit duit klo emang niat pgn bangun bangsa kerja dgn ikhlas harap tunjang yg waw sahkan ampas aset,pusing 1 permasalahanya duit duit klo emang niat pgn bangun bangsa kerja ikhlas harap tunjang waw sahkan ampas aset
8% aamiin,8 aamiin,8 aamiin,8 aamiin,8 aamiin
"maling maling uang rakyat sedang bersiasat pakai keputusan gacoan meteka ya g lama ya.  

memang jni pekerja partai sangat perlu di pecat nih ya.",maling maling uang rakyat sedang bersiasat pakai keputusan gacoan meteka ya g lama ya memang jni pekerja partai sangat perlu di pecat nih ya,maling maling uang rakyat bersiasat pakai keputusan gacoan meteka ya g ya jni pekerja partai pecat nih ya,maling maling uang rakyat siasat pakai putus gaco meteka ya g ya jni kerja partai pecat nih ya,maling maling uang rakyat siasat pakai putus gaco meteka ya ya jni kerja partai pecat nih ya
"harusnya kabinet itu berdasarkan merit jangan ada yg dari parpol, karena bukan ahlinya",harusnya kabinet itu berdasarkan merit jangan ada yg dari parpol karena bukan ahlinya,kabinet berdasarkan merit yg parpol ahlinya,kabinet dasar rit yg parpol ahli,kabinet dasar rit parpol ahli
"efisien pertama yg harus di lakukan itu harus dari yg duduk di dpr,, ngomong doang masalah masyarakat miskin, segala macam, tp banyak ga bercermin pantaskah gaji dan tunjangan kalian wahai dpr untuk bisa memajukan negeri? 
sedangkan masih banyak warga masyarakat yg berada di bawah garis kemiskinan,  sedangkan kalian menikmati hasil jerih payah masyarakat miskin",efisien pertama yg harus di lakukan itu harus dari yg duduk di dpr ngomong doang masalah masyarakat miskin segala macam tp banyak ga bercermin pantaskah gaji dan tunjangan kalian wahai dpr untuk bisa memajukan negeri sedangkan masih banyak warga masyarakat yg berada di bawah garis kemiskinan sedangkan kalian menikmati hasil jerih payah masyarakat miskin,efisien yg lakukan yg duduk dpr ngomong doang masyarakat miskin tp ga bercermin pantaskah gaji tunjangan dpr memajukan negeri warga masyarakat yg garis kemiskinan menikmati hasil jerih payah masyarakat miskin,efisien yg laku yg duduk dpr ngomong doang masyarakat miskin tp ga cermin pantas gaji tunjang dpr maju negeri warga masyarakat yg garis miskin nikmat hasil jerih payah masyarakat miskin,efisien laku duduk dpr ngomong doang masyarakat miskin cermin gaji tunjang dpr maju negeri warga masyarakat garis miskin nikmat hasil jerih payah masyarakat miskin
itu pendidikan ya urusan menteri pendidikan!,itu pendidikan ya urusan menteri pendidikan,pendidikan ya urusan menteri pendidikan,didik ya urus menteri didik,didik ya urus menteri didik
musuh indonesia itu cuma 1 yaitu korupsi. dan sumber korupsi terbesar itu dari dpr,musuh indonesia itu cuma 1 yaitu korupsi dan sumber korupsi terbesar itu dari dpr,musuh indonesia 1 korupsi sumber korupsi terbesar dpr,musuh indonesia 1 korupsi sumber korupsi besar dpr,musuh indonesia 1 korupsi sumber korupsi dpr
"sinetron indonesia, draker ( drama rapat kerja) 😂",sinetron indonesia draker drama rapat kerja,sinetron indonesia draker drama rapat kerja,sinetron indonesia draker drama rapat kerja,sinetron indonesia draker drama rapat kerja
gimana mau maju negri  ini kalau di anggota dpr masih banyak yg mementingkan kepentingan pribadi,gimana mau maju negri ini kalau di anggota dpr masih banyak yg mementingkan kepentingan pribadi,gimana maju negri anggota dpr yg mementingkan kepentingan pribadi,gimana maju negri anggota dpr yg penting penting pribadi,gimana maju negri anggota dpr pribadi
iki lo kumpulan koruptor pintere   mangap2 tok sama cari celah mana yg bisa di koruptor,iki lo kumpulan koruptor pintere mangap2 tok sama cari celah mana yg bisa di koruptor,iki lo kumpulan koruptor pintere mangap2 tok cari celah yg koruptor,iki lo kumpul koruptor pintere mangap2 tok cari celah yg koruptor,iki lo kumpul koruptor pintere mangap2 tok cari celah koruptor
apa bila kita ingin ekonomi indonesia tumbuh sampai 7% maupun lebih dari itu makah yg harus di bersihkan dulu adalah dpr itu sendiri karnah merekalah sarang dari korupsi itu sendiri jangan anggap rakyat tidak tau atas kebohongan dan kemunafikan parah dpr☝️ada waktunya rakyat turun sendiri untuk membersihkan parah dpr dewan perwakilan partai,apa bila kita ingin ekonomi indonesia tumbuh sampai 7 maupun lebih dari itu makah yg harus di bersihkan dulu adalah dpr itu sendiri karnah merekalah sarang dari korupsi itu sendiri jangan anggap rakyat tidak tau atas kebohongan dan kemunafikan parah dprada waktunya rakyat turun sendiri untuk membersihkan parah dpr dewan perwakilan partai,ekonomi indonesia tumbuh 7 makah yg bersihkan dpr karnah sarang korupsi anggap rakyat tau kebohongan kemunafikan parah dprada rakyat turun membersihkan parah dpr dewan perwakilan partai,ekonomi indonesia tumbuh 7 makah yg sih dpr karnah sarang korupsi anggap rakyat tau bohong munafik parah dprada rakyat turun bersih parah dpr dewan wakil partai,ekonomi indonesia tumbuh 7 makah sih dpr karnah sarang korupsi anggap rakyat tau bohong munafik parah dprada rakyat turun bersih parah dpr dewan wakil partai
saran buat pak menteri lakukan yg menurut anda benar dan jangan terlalu sering rapat dengan dpr. fokus bangun ekonomi saja,saran buat pak menteri lakukan yg menurut anda benar dan jangan terlalu sering rapat dengan dpr fokus bangun ekonomi saja,saran menteri lakukan yg rapat dpr fokus bangun ekonomi,saran menteri laku yg rapat dpr fokus bangun ekonomi,saran menteri laku rapat dpr fokus bangun ekonomi
"next pemilihan anggota dpr harus kapable dengan bidang yg emban , bukan asal asalan, dengan syarat yg ketat , dan rekam jejak yang baik",next pemilihan anggota dpr harus kapable dengan bidang yg emban bukan asal asalan dengan syarat yg ketat dan rekam jejak yang baik,next pemilihan anggota dpr kapable bidang yg emban asalan syarat yg ketat rekam jejak,next pilih anggota dpr kapable bidang yg emban asal syarat yg ketat rekam jejak,next pilih anggota dpr kapable bidang emban syarat ketat rekam jejak
"dpr yang harus liat kemampuan kalian, efisiensi di gajinya kalian harusnya",dpr yang harus liat kemampuan kalian efisiensi di gajinya kalian harusnya,dpr liat kemampuan efisiensi gajinya,dpr liat mampu efisiensi gaji,dpr liat efisiensi gaji
menkeu vs everybody ( dpr rl ),menkeu vs everybody dpr rl,menkeu vs everybody dpr rl,menkeu vs everybody dpr rl,menkeu vs everybody dpr rl
u u perampasan aset ‼️‼️❓❓❓❓,u u perampasan aset ‼‼,u u perampasan aset ‼‼,u u ampas aset,u u ampas aset
"d p r 👺🖤👎🏿‼️❓❓
- dpr menolak uu perampasan aset ‼️❓❓ 
- dpr langsung menyetujui &  mengesahkan amnesti & abolisi untuk pembebasan gembong mafia & perampok kakap berjamaah uang negara",d p r ‼ dpr menolak uu perampasan aset ‼ dpr langsung menyetujui mengesahkan amnesti abolisi untuk pembebasan gembong mafia perampok kakap berjamaah uang negara,d p r ‼ dpr menolak uu perampasan aset ‼ dpr langsung menyetujui mengesahkan amnesti abolisi pembebasan gembong mafia perampok kakap berjamaah uang negara,d p r dpr tolak uu ampas aset dpr langsung tuju kesah amnesti abolisi bebas gembong mafia rampok kakap jamaah uang negara,d p r dpr tolak uu ampas aset dpr langsung tuju kesah amnesti abolisi bebas gembong mafia rampok kakap jamaah uang negara
"bongkar ke publik
semua borok- borok ketua & semua anggota dpr",bongkar ke publik semua borok borok ketua semua anggota dpr,bongkar publik borok borok ketua anggota dpr,bongkar publik borok borok ketua anggota dpr,bongkar publik borok borok ketua anggota dpr
"solusi terbaik untuk mempercepaat uu perampasan aset adalah
pecaaat  p u a n ‼️‼️",solusi terbaik untuk mempercepaat uu perampasan aset adalah pecaaat p u a n ‼‼,solusi terbaik mempercepaat uu perampasan aset pecaaat p u a n ‼‼,solusi baik mempercepaat uu ampas aset pecaaat p u a n,solusi mempercepaat uu ampas aset pecaaat p u a n
"👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿
d p r  sarangnya penyamun ‼️ 
makanya uu perampasan aset gagal total",d p r sarangnya penyamun ‼ makanya uu perampasan aset gagal total,d p r sarangnya penyamun ‼ uu perampasan aset gagal total,d p r sarang samun uu ampas aset gagal total,d p r sarang samun uu ampas aset gagal total
"tarik balik ‼️‼️ 
usut sampai tuntas  bongkar ke publik 
3ooo trilyun uang negara yg dirampok oleh peg kemenkeu rafael alun ( anak buah srimul 👺🖤😎😷👎🏿 )‼️
271 trilyun uang negara yg dirampok harve muis ‼️
& perampok- perampok kakap yg lain ‼️",tarik balik ‼‼ usut sampai tuntas bongkar ke publik 3ooo trilyun uang negara yg dirampok oleh peg kemenkeu rafael alun anak buah srimul ‼ 271 trilyun uang negara yg dirampok harve muis ‼ perampok perampok kakap yg lain ‼,tarik ‼‼ usut tuntas bongkar publik 3ooo trilyun uang negara yg dirampok peg kemenkeu rafael alun anak buah srimul ‼ 271 trilyun uang negara yg dirampok harve muis ‼ perampok perampok kakap yg ‼,tarik usut tuntas bongkar publik 3ooo trilyun uang negara yg rampok peg kemenkeu rafael alun anak buah srimul 271 trilyun uang negara yg rampok harve mu rampok rampok kakap yg,tarik usut tuntas bongkar publik 3ooo trilyun uang negara rampok peg kemenkeu rafael alun anak buah srimul 271 trilyun uang negara rampok harve mu rampok rampok kakap
"pecaaat puan ‼️ 
agar uu perampasan aset secepaatnya disahkan ‼️",pecaaat puan ‼ agar uu perampasan aset secepaatnya disahkan ‼,pecaaat puan ‼ uu perampasan aset secepaatnya disahkan ‼,pecaaat puan uu ampas aset secepaatnya sah,pecaaat puan uu ampas aset secepaatnya sah
"d p r  gak pecus kerja 
dpr hanya koar- koar menghabiskan uang negara ‼️",d p r gak pecus kerja dpr hanya koar koar menghabiskan uang negara ‼,d p r gak pecus kerja dpr koar koar menghabiskan uang negara ‼,d p r gak cus kerja dpr koar koar habis uang negara,d p r gak cus kerja dpr koar koar habis uang negara
"efisiensi anggaran dpr juga harus diterapkan, pasti sangat membatu,",efisiensi anggaran dpr juga harus diterapkan pasti sangat membatu,efisiensi anggaran dpr diterapkan membatu,efisiensi anggar dpr terap batu,efisiensi anggar dpr terap batu
kenapa hanya uang pajak sih yang selalu di bicarakan apakah pendapatan negara hanya dari pajak lalu uang hasil tambang kita pada kemana?,kenapa hanya uang pajak sih yang selalu di bicarakan apakah pendapatan negara hanya dari pajak lalu uang hasil tambang kita pada kemana,uang pajak sih bicarakan pendapatan negara pajak uang hasil tambang kemana,uang pajak sih bicara dapat negara pajak uang hasil tambang mana,uang pajak sih bicara negara pajak uang hasil tambang
"kerja ke lapangan jangan mengandalkan anak buah,datanya waduk, banyak yg miskin semakin banyak, lihat saja banyak yg nganggur jd daya masyarakat tuk beli menurun.",kerja ke lapangan jangan mengandalkan anak buahdatanya waduk banyak yg miskin semakin banyak lihat saja banyak yg nganggur jd daya masyarakat tuk beli menurun,kerja lapangan mengandalkan anak buahdatanya waduk yg miskin lihat yg nganggur jd daya masyarakat tuk beli menurun,kerja lapang andal anak buahdatanya waduk yg miskin lihat yg nganggur jd daya masyarakat tuk beli turun,kerja lapang andal anak buahdatanya waduk miskin lihat nganggur jd daya masyarakat tuk beli turun
berikanlah kesempatan kepada menkeu yg baru,berikanlah kesempatan kepada menkeu yg baru,berikanlah kesempatan menkeu yg,beri sempat menkeu yg,menkeu
"biarpun ganti 17 mentri klo di korip terus mana bisa maju,,,,,",biarpun ganti 17 mentri klo di korip terus mana bisa maju,biarpun ganti 17 mentri klo korip maju,biarpun ganti 17 tri klo korip maju,biarpun ganti 17 tri klo korip maju
dpr ini sudah di ancam bubar juga tidak malu😅 sok cecar emng mau pencitraan ya,dpr ini sudah di ancam bubar juga tidak malu sok cecar emng mau pencitraan ya,dpr ancam bubar malu sok cecar emng pencitraan ya,dpr ancam bubar malu sok cecar emng citra ya,dpr ancam bubar malu cecar emng citra ya
"gimana gak banyak pengangguran.  mau kerja aja harus bayar admin sebesar sebulan gaji.  salah satunya tangerang banten. 
indonesia ini ruarr biasa",gimana gak banyak pengangguran mau kerja aja harus bayar admin sebesar sebulan gaji salah satunya tangerang banten indonesia ini ruarr biasa,gimana gak pengangguran kerja aja bayar admin sebulan gaji salah satunya tangerang banten indonesia ruarr,gimana gak anggur kerja aja bayar admin bulan gaji salah satu tangerang banten indonesia ruarr,gimana gak anggur kerja bayar admin gaji salah tangerang banten indonesia ruarr
ppl p‘04=§∆,ppl p‘04§∆,ppl p‘04§∆,ppl p 04,ppl p 04
mekeng tandai pemilu depan,mekeng tandai pemilu depan,mekeng tandai pemilu,mekeng tanda milu,mekeng tanda milu
kenapa pemotongan anggaran di kementerian ? kenapa gak efisiensi aja tunjangan dpr wkwkwk kocak,kenapa pemotongan anggaran di kementerian kenapa gak efisiensi aja tunjangan dpr wkwkwk kocak,pemotongan anggaran kementerian gak efisiensi aja tunjangan dpr wkwkwk kocak,potong anggar menteri gak efisiensi aja tunjang dpr wkwkwk kocak,potong anggar menteri gak efisiensi tunjang dpr wkwkwk kocak
jane anggota dpr cuma ngmng to ra krjo,jane anggota dpr cuma ngmng to ra krjo,jane anggota dpr ngmng to ra krjo,jane anggota dpr ngmng to ra krjo,jane anggota dpr ngmng to ra krjo
"bicara efisiensi😅 hati-hati digeruduk rakyat, nanti kabur singapura juga😅",bicara efisiensi hatihati digeruduk rakyat nanti kabur singapura juga,bicara efisiensi hatihati digeruduk rakyat kabur singapura,bicara efisiensi hatihati digeruduk rakyat kabur singapura,bicara efisiensi hatihati digeruduk rakyat kabur singapura
"emang komisi 11 pada ngerti apa yg di paparkan pak menkeu? wkkkkk, kualitas dpr kita mahhhh, wkkkk deh",emang komisi 11 pada ngerti apa yg di paparkan pak menkeu wkkkkk kualitas dpr kita mahhhh wkkkk deh,emang komisi 11 ngerti yg paparkan menkeu wkkkkk kualitas dpr mahhhh wkkkk deh,emang komisi 11 ngerti yg papar menkeu wkkkkk kualitas dpr mahhhh wkkkk deh,emang komisi 11 ngerti papar menkeu wkkkkk kualitas dpr mahhhh wkkkk deh
apa cuma aku yang mikir anggota dpr yang tanya 80% ngeselin banget muka sama konotasinya,apa cuma aku yang mikir anggota dpr yang tanya 80 ngeselin banget muka sama konotasinya,mikir anggota dpr 80 ngeselin banget muka konotasinya,mikir anggota dpr 80 ngeselin banget muka konotasi,mikir anggota dpr 80 ngeselin banget muka konotasi
kok belum bubar?,kok belum bubar,bubar,bubar,bubar
cuiih dpr semua peran dari harga beban biaya ya yg besar dari ulah kalian semua,cuiih dpr semua peran dari harga beban biaya ya yg besar dari ulah kalian semua,cuiih dpr peran harga beban biaya ya yg ulah,cuiih dpr peran harga beban biaya ya yg ulah,cuiih dpr peran harga beban biaya ya ulah
"pak metri tolong kondisikan para dpr wakil rakyat bahagia ,,wakil rakyat jalan jaln keluar negri,,mewakili rakyat hidup hedon,mewakili rakyat dalm segala hal yg mengahmburkan duit rakyat ,sedangkan kita rakyat tidak pernah tersentuh pemerintah
semua pajak naik",pak metri tolong kondisikan para dpr wakil rakyat bahagia wakil rakyat jalan jaln keluar negrimewakili rakyat hidup hedonmewakili rakyat dalm segala hal yg mengahmburkan duit rakyat sedangkan kita rakyat tidak pernah tersentuh pemerintah semua pajak naik,metri tolong kondisikan dpr wakil rakyat bahagia wakil rakyat jalan jaln negrimewakili rakyat hidup hedonmewakili rakyat dalm yg mengahmburkan duit rakyat rakyat tersentuh pemerintah pajak,metri tolong kondisi dpr wakil rakyat bahagia wakil rakyat jalan jaln negrimewakili rakyat hidup hedonmewakili rakyat dalm yg mengahmburkan duit rakyat rakyat sentuh perintah pajak,metri tolong kondisi dpr wakil rakyat bahagia wakil rakyat jalan jaln negrimewakili rakyat hidup hedonmewakili rakyat dalm mengahmburkan duit rakyat rakyat sentuh perintah pajak
"dpr itu beban negara. sebagai beban, gak usah  d kasih fasilitas berlebih. cukup d gaji umr aja. karena gak ada yg bisa d harapkan dari sesuatu yg namanya beban",dpr itu beban negara sebagai beban gak usah d kasih fasilitas berlebih cukup d gaji umr aja karena gak ada yg bisa d harapkan dari sesuatu yg namanya beban,dpr beban negara beban gak d kasih fasilitas berlebih d gaji umr aja gak yg d harapkan yg namanya beban,dpr beban negara beban gak d kasih fasilitas lebih d gaji umr aja gak yg d harap yg nama beban,dpr beban negara beban gak d kasih fasilitas d gaji umr gak d harap nama beban
dia yg menyetujui hutang kok malah dia yg tanya mampu apa gak😂😂😂,dia yg menyetujui hutang kok malah dia yg tanya mampu apa gak,yg menyetujui hutang yg gak,yg tuju hutang yg gak,tuju hutang gak
yg nanya adalah beban,yg nanya adalah beban,yg nanya beban,yg nanya beban,nanya beban
"dpr ini kalo sudah tau gaps nya, kenapa tidak di close dari dulu. kok mendengar dari pernyataan tentang pendidikan kok pesimis begitu ya? bukanya rapat ini untuk medapatkan solusi terbaik untuk sebuah negara,  bukan malah mempertanyakan / meragukan menku , seakan dpr ini observe public habis itu menghajar menteri di meja dpr , kok jadi bingung 😅🥲",dpr ini kalo sudah tau gaps nya kenapa tidak di close dari dulu kok mendengar dari pernyataan tentang pendidikan kok pesimis begitu ya bukanya rapat ini untuk medapatkan solusi terbaik untuk sebuah negara bukan malah mempertanyakan meragukan menku seakan dpr ini observe public habis itu menghajar menteri di meja dpr kok jadi bingung 🥲,dpr kalo tau gaps nya close mendengar pernyataan pendidikan pesimis ya bukanya rapat medapatkan solusi terbaik negara meragukan menku seakan dpr observe public habis menghajar menteri meja dpr bingung 🥲,dpr kalo tau gaps nya close dengar nyata didik pesimis ya buka rapat medapatkan solusi baik negara ragu menku akan dpr observe public habis hajar menteri meja dpr bingung,dpr kalo tau gaps close dengar nyata didik pesimis ya buka rapat medapatkan solusi negara ragu menku dpr observe public habis hajar menteri meja dpr bingung
kader pdip itu memang sudah keliahatan mafianya dilihat dari mukanya,kader pdip itu memang sudah keliahatan mafianya dilihat dari mukanya,kader pdip keliahatan mafianya mukanya,kader pdip keliahatan mafia muka,kader pdip keliahatan mafia muka
"yg mengesahkan hutang dpr, giliran untuk membayar hutang ngajak2 orang lain untuk menyelasaikan.jancuk",yg mengesahkan hutang dpr giliran untuk membayar hutang ngajak2 orang lain untuk menyelasaikanjancuk,yg mengesahkan hutang dpr giliran membayar hutang ngajak2 orang menyelasaikanjancuk,yg kesah hutang dpr gilir bayar hutang ngajak2 orang menyelasaikanjancuk,kesah hutang dpr gilir bayar hutang ngajak2 orang menyelasaikanjancuk
maaf saya tidak percaya dpr,maaf saya tidak percaya dpr,maaf percaya dpr,maaf percaya dpr,maaf percaya dpr
dpr kita pinter pinter. tapi pinternya membela partai bukan rakyat. tidak usah demon demon menuntut bubar. cukup se indonesia jangan mencoblos baik. calon dprd.dpr.,dpr kita pinter pinter tapi pinternya membela partai bukan rakyat tidak usah demon demon menuntut bubar cukup se indonesia jangan mencoblos baik calon dprddpr,dpr pinter pinter pinternya membela partai rakyat demon demon menuntut bubar indonesia mencoblos calon dprddpr,dpr pinter pinter pinternya bela partai rakyat demon demon tuntut bubar indonesia coblos calon dprddpr,dpr pinter pinter pinternya bela partai rakyat demon demon tuntut bubar indonesia coblos calon dprddpr
"dpr itu kenapa tidak pernah memberikan solusi. masalah saja tidak mengerti. bagaimana mungkin bisa memberikan solusi? hanya bisa mempertanyakan masalah. solusi itu menyelesaikan masalah. kalau masih ada pertanyaan berarti belum selesai. jadi, apa fungsinya dpr itu? macam itu, sampai kiamat dpr tetap menjengkelkan.",dpr itu kenapa tidak pernah memberikan solusi masalah saja tidak mengerti bagaimana mungkin bisa memberikan solusi hanya bisa mempertanyakan masalah solusi itu menyelesaikan masalah kalau masih ada pertanyaan berarti belum selesai jadi apa fungsinya dpr itu macam itu sampai kiamat dpr tetap menjengkelkan,dpr solusi mengerti solusi solusi menyelesaikan selesai fungsinya dpr kiamat dpr menjengkelkan,dpr solusi erti solusi solusi selesai selesai fungsi dpr kiamat dpr jengkel,dpr solusi erti solusi solusi selesai selesai fungsi dpr kiamat dpr jengkel
"dprnya ketakitan susah korup, karena duitya di pakai banyak buat usaha negara,",dprnya ketakitan susah korup karena duitya di pakai banyak buat usaha negara,dprnya ketakitan susah korup duitya pakai usaha negara,dprnya ketakitan susah korup duitya pakai usaha negara,dprnya ketakitan susah korup duitya pakai usaha negara
baru kali ini saya liat anggota dpr koar2 semua 😂😂😂,baru kali ini saya liat anggota dpr koar2 semua,kali liat anggota dpr koar2,kali liat anggota dpr koar2,kali liat anggota dpr koar2
dana pendidikan lebih besar anggaran perjalanan dinasnya daripada pendidikan anak anak,dana pendidikan lebih besar anggaran perjalanan dinasnya daripada pendidikan anak anak,dana pendidikan anggaran perjalanan dinasnya pendidikan anak anak,dana didik anggar jalan dinas didik anak anak,dana didik anggar jalan dinas didik anak anak
"transfer ke daerah jangan dipotong,",transfer ke daerah jangan dipotong,transfer daerah dipotong,transfer daerah potong,transfer daerah potong
"kalau dengar dpr ngomong kayak nya suci semua, tapi  kalau lihat korupsi dpr kayak nya jin pun pusing ngeliat nya.",kalau dengar dpr ngomong kayak nya suci semua tapi kalau lihat korupsi dpr kayak nya jin pun pusing ngeliat nya,dengar dpr ngomong kayak nya suci lihat korupsi dpr kayak nya jin pusing ngeliat nya,dengar dpr ngomong kayak nya suci lihat korupsi dpr kayak nya jin pusing ngeliat nya,dengar dpr ngomong kayak suci lihat korupsi dpr kayak jin pusing ngeliat
"saya tidak melihat kemampuan menkeu sekarang untuk korupsi, justeru saya melihat kemampuan pak mekeng untuk korupsi berjema'ah. 😢",saya tidak melihat kemampuan menkeu sekarang untuk korupsi justeru saya melihat kemampuan pak mekeng untuk korupsi berjemaah,kemampuan menkeu korupsi justeru kemampuan mekeng korupsi berjemaah,mampu menkeu korupsi justeru mampu mekeng korupsi jemaah,menkeu korupsi justeru mekeng korupsi jemaah
"mbg nggak ada gunanya pak, yang penting lapangan kerja tersedia, sembako murah dan terjangkau. 😢",mbg nggak ada gunanya pak yang penting lapangan kerja tersedia sembako murah dan terjangkau,mbg nggak gunanya lapangan kerja tersedia sembako murah terjangkau,mbg nggak guna lapang kerja sedia sembako murah jangkau,mbg nggak lapang kerja sedia sembako murah jangkau
"hapus pensiun dpr, krn real beban negara adalah mereka yg pensiun padahal kerja cm 5 tahun. asn harus puluhan tahun kerja baru bisa dapat pensiun. itupun nilainya jauh lebih rendah dr yg di dapat anggota dpr.",hapus pensiun dpr krn real beban negara adalah mereka yg pensiun padahal kerja cm 5 tahun asn harus puluhan tahun kerja baru bisa dapat pensiun itupun nilainya jauh lebih rendah dr yg di dapat anggota dpr,hapus pensiun dpr krn real beban negara yg pensiun kerja cm 5 asn puluhan kerja pensiun itupun nilainya rendah dr yg anggota dpr,hapus pensiun dpr krn real beban negara yg pensiun kerja cm 5 asn puluh kerja pensiun itu nilai rendah dr yg anggota dpr,hapus pensiun dpr real beban negara pensiun kerja cm 5 asn puluh kerja pensiun nilai rendah anggota dpr
"bicara perekonomian dinegeri ini memang tidak sesederhana yang disampaikan pak purbaya. negeri ini sudah sangat kompleks permasalahannya dikarenakan tatanan pemangku jabatan di negeri ini sudah bergeser jauh dari moral standard nya. kita lihat dengan jelas kasus korupsi di negeri ini sudah sangat luar biasa. tidak akan pernah ada pemerintahan yang tidak hancur jika mengalami kasus korupsi seperti selama 5 tahun di negara kita ini, korupsi disegala lini. jadi kalau mengharapkan strategi dari purbaya, tidak akan bisa berdampak besar, hanya sedikit saja itu juga tidak mudah dan pengawasan yang sangat ketat.",bicara perekonomian dinegeri ini memang tidak sesederhana yang disampaikan pak purbaya negeri ini sudah sangat kompleks permasalahannya dikarenakan tatanan pemangku jabatan di negeri ini sudah bergeser jauh dari moral standard nya kita lihat dengan jelas kasus korupsi di negeri ini sudah sangat luar biasa tidak akan pernah ada pemerintahan yang tidak hancur jika mengalami kasus korupsi seperti selama 5 tahun di negara kita ini korupsi disegala lini jadi kalau mengharapkan strategi dari purbaya tidak akan bisa berdampak besar hanya sedikit saja itu juga tidak mudah dan pengawasan yang sangat ketat,bicara perekonomian dinegeri sesederhana purbaya negeri kompleks permasalahannya tatanan pemangku jabatan negeri bergeser moral standard nya lihat korupsi negeri pemerintahan hancur mengalami korupsi 5 negara korupsi disegala lini mengharapkan strategi purbaya berdampak mudah pengawasan ketat,bicara ekonomi negeri sederhana purbaya negeri kompleks masalah tatanan mang jabat negeri geser moral standard nya lihat korupsi negeri perintah hancur alami korupsi 5 negara korupsi segala lini harap strategi purbaya dampak mudah awas ketat,bicara ekonomi negeri sederhana purbaya negeri kompleks tatanan mang jabat negeri geser moral standard lihat korupsi negeri perintah hancur alami korupsi 5 negara korupsi lini harap strategi purbaya dampak mudah awas ketat
ini anngota dpr sungguh sangat memalukan. kenapa hal hal trersebut tidak ditanyakan saat menkeu yang lama. ini menteri baru diangkat beberapa hari di tanya hal hal yang masa lalu.,ini anngota dpr sungguh sangat memalukan kenapa hal hal trersebut tidak ditanyakan saat menkeu yang lama ini menteri baru diangkat beberapa hari di tanya hal hal yang masa lalu,anngota dpr sungguh memalukan trersebut menkeu menteri diangkat,anngota dpr sungguh malu trersebut menkeu menteri angkat,anngota dpr sungguh malu trersebut menkeu menteri angkat
kenapa efisiensi ga mulai dri atas? pejabat dan anggota dpr dipangkas dl aja br hemat,kenapa efisiensi ga mulai dri atas pejabat dan anggota dpr dipangkas dl aja br hemat,efisiensi ga dri pejabat anggota dpr dipangkas dl aja br hemat,efisiensi ga dri jabat anggota dpr pangkas dl aja br hemat,efisiensi dri jabat anggota dpr pangkas dl br hemat
bagaimana mau pertumbuhan ekonomi kita tumbuh di atas 6% atau di atas 8% sedangkan bapak2 dpr dan pejabat lainnnya asik berpikir keras bagaimana cara korupsi dan korupsi lagi 😂😂😂,bagaimana mau pertumbuhan ekonomi kita tumbuh di atas 6 atau di atas 8 sedangkan bapak2 dpr dan pejabat lainnnya asik berpikir keras bagaimana cara korupsi dan korupsi lagi,pertumbuhan ekonomi tumbuh 6 8 bapak2 dpr pejabat lainnnya asik berpikir keras korupsi korupsi,tumbuh ekonomi tumbuh 6 8 bapak2 dpr jabat lainnnya asik pikir keras korupsi korupsi,tumbuh ekonomi tumbuh 6 8 bapak2 dpr jabat lainnnya asik pikir keras korupsi korupsi
pak menkeu itu bagai berlian tapi di tengah got selamatkan karena berharga dan berguna bagi bangsa dan negara,pak menkeu itu bagai berlian tapi di tengah got selamatkan karena berharga dan berguna bagi bangsa dan negara,menkeu berlian got selamatkan berharga berguna bangsa negara,menkeu berlian got selamat harga guna bangsa negara,menkeu berlian got selamat harga bangsa negara
dpr  beban rakyat,dpr beban rakyat,dpr beban rakyat,dpr beban rakyat,dpr beban rakyat
dpr hanya pinter mikir untk dia aja,dpr hanya pinter mikir untk dia aja,dpr pinter mikir untk aja,dpr pinter mikir untk aja,dpr pinter mikir untk
