komentar,komentar_bersih,setelah_preprocesing
"sekarang lagi surplus padi, dibanding tahun 2
kemarin sudah tentu bisa kembali kan / cicilan
hutang yang membengkak akibat
ulah mantan yg pasti aparat
tidak berani meriksa",sekarang lagi surplus padi dibanding tahun 2 kemarin sudah tentu bisa kembali kan cicilan hutang yang membengkak akibat ulah mantan yg pasti aparat tidak berani meriksa,surplus padi dibanding 2 kemarin cicilan hutang membengkak akibat ulah mantan yg aparat berani meriksa
"men keu yg baru ini banyak omong
asal jangan omong doang
buktikan omongan mu",men keu yg baru ini banyak omong asal jangan omong doang buktikan omongan mu,men keu yg omong omong doang buktikan omongan mu
"dpr satu komplotan itu, smua sama aja pengen duit lebih😂😂😂",dpr satu komplotan itu smua sama aja pengen duit lebih,dpr komplotan smua aja pengen duit
"dpr kerja nya ngapain selama ini .gak ada kemajuan malah merosot ,gebrakan nya merugikan rakyat😂",dpr kerja nya ngapain selama ini gak ada kemajuan malah merosot gebrakan nya merugikan rakyat,dpr kerja nya ngapain gak kemajuan merosot gebrakan nya merugikan rakyat
"3:01 phk masih terjadi, pengangguran turun😮? maksud nya apa yak, ga ngerti😢",301 phk masih terjadi pengangguran turun maksud nya apa yak ga ngerti,301 phk pengangguran turun maksud nya yak ga ngerti
"saya sbg masyarakat paling bawah berpendapat, bahwa lambatnya kenaikan ekonomi karena masyarakat dibebani dg utang atau kredit, baik di bank atau di lasing kendaraan atau barang lain.
kendati org bekerja, namun putaran uang akan berhenti karena untuk membayar hutang2 mereka.",saya sbg masyarakat paling bawah berpendapat bahwa lambatnya kenaikan ekonomi karena masyarakat dibebani dg utang atau kredit baik di bank atau di lasing kendaraan atau barang lain kendati org bekerja namun putaran uang akan berhenti karena untuk membayar hutang2 mereka,sbg masyarakat berpendapat lambatnya kenaikan ekonomi masyarakat dibebani dg utang kredit bank lasing kendaraan barang kendati org putaran uang berhenti membayar hutang2
mnding dpr diem dh,mnding dpr diem dh,mnding dpr diem dh
dpr ragu = menteri nya bener😂😂😂,dpr ragu menteri nya bener,dpr ragu menteri nya bener
full video ada ?,full video ada,full video
ya berubahnya di gajiii lu dprr harusnya biar ekonomi bisa tumbuh dan oh ya pemikiran dpr nya jg harus diubah tuh kebiasaan para koruptornya bukan utang negara yg dilongarkan klo gak ada korupsi tuhh negara kita gakk bakalann yg adanya utang sebanyakk ituuu gua yakinnn!!!!,ya berubahnya di gajiii lu dprr harusnya biar ekonomi bisa tumbuh dan oh ya pemikiran dpr nya jg harus diubah tuh kebiasaan para koruptornya bukan utang negara yg dilongarkan klo gak ada korupsi tuhh negara kita gakk bakalann yg adanya utang sebanyakk ituuu gua yakinnn,ya berubahnya gajiii lu dprr biar ekonomi tumbuh oh ya pemikiran dpr nya jg diubah tuh kebiasaan koruptornya utang negara yg dilongarkan klo gak korupsi tuhh negara gakk bakalann yg utang sebanyakk ituuu gua yakinnn
dpr lama lama jadi termul,dpr lama lama jadi termul,dpr termul
efisiensi anggota dpr,efisiensi anggota dpr,efisiensi anggota dpr
dpr kerjanya apa? salah satunya ini,dpr kerjanya apa salah satunya ini,dpr kerjanya salah satunya
"bisa kaga ya tunjang dpr di pangkas, bertanya dengan lembut",bisa kaga ya tunjang dpr di pangkas bertanya dengan lembut,kaga ya tunjang dpr pangkas lembut
debul  ah. mending bubar dpr,debul ah mending bubar dpr,debul ah mending bubar dpr
dprrr kerja nyaa apaa????,dprrr kerja nyaa apaa,dprrr kerja nyaa apaa
"kita harus dukung menteri keuangan guys tau sndiri kan dpr indo bobrok gak bisa dipercaya sama sekalii penghalang kinerja menteri yg benar"" jujur dan pro rakyat kita harus buka mata lebar"" melek dpr indo banyak yg korupsi",kita harus dukung menteri keuangan guys tau sndiri kan dpr indo bobrok gak bisa dipercaya sama sekalii penghalang kinerja menteri yg benar jujur dan pro rakyat kita harus buka mata lebar melek dpr indo banyak yg korupsi,dukung menteri keuangan guys tau sndiri dpr indo bobrok gak dipercaya sekalii penghalang kinerja menteri yg jujur pro rakyat buka mata lebar melek dpr indo yg korupsi
"sebetulnya mereka tau, klu kuncinya ada di dpr utk dpt membenahi perekonomian rakyat, mirisnya ya😢",sebetulnya mereka tau klu kuncinya ada di dpr utk dpt membenahi perekonomian rakyat mirisnya ya,tau klu kuncinya dpr utk dpt membenahi perekonomian rakyat mirisnya ya
"mana akun sosmed y yu kita silaturrahmi ke bapa tua yg omon"" doaang",mana akun sosmed y yu kita silaturrahmi ke bapa tua yg omon doaang,akun sosmed y yu silaturrahmi bapa tua yg omon doaang
"sahkan perempasan aset koruptor ! omong kosng  tentang  effort meningkatkan pendidikan rakyat , mengentaskan orang miskin , memperbaiki kurang gizi ,",sahkan perempasan aset koruptor omong kosng tentang effort meningkatkan pendidikan rakyat mengentaskan orang miskin memperbaiki kurang gizi,sahkan perempasan aset koruptor omong kosng effort meningkatkan pendidikan rakyat mengentaskan orang miskin memperbaiki gizi
"ditantang balik para dpr, bilang hanya konfirm",ditantang balik para dpr bilang hanya konfirm,ditantang dpr bilang konfirm
"dpr pintar ngomong doang padahal dapilnya masing""  belum tentu beres,",dpr pintar ngomong doang padahal dapilnya masing belum tentu beres,dpr pintar ngomong doang dapilnya beres
"pejabat dpr berani gak bikin undang undang transparansi e-budgeting 
- pengelolaan anggaran 
- harta kekayaan pejabat",pejabat dpr berani gak bikin undang undang transparansi ebudgeting pengelolaan anggaran harta kekayaan pejabat,pejabat dpr berani gak bikin undang undang transparansi ebudgeting pengelolaan anggaran harta kekayaan pejabat
"kerja paling enak jadi pejabat dpr
😂
pantesan betah",kerja paling enak jadi pejabat dpr pantesan betah,kerja enak pejabat dpr pantesan betah
berarti memang benar klo wakil rakyat itu tidak bisa kerja dengan benar,berarti memang benar klo wakil rakyat itu tidak bisa kerja dengan benar,klo wakil rakyat kerja
"ini semua tuh uneg2 yg terpendam selama ini, baru bisa dikeluarkan ke mentri yg baru menjabat 3 hari😅",ini semua tuh uneg2 yg terpendam selama ini baru bisa dikeluarkan ke mentri yg baru menjabat 3 hari,tuh uneg2 yg terpendam dikeluarkan mentri yg menjabat 3
muak banget denger de pe er,muak banget denger de pe er,muak banget denger de pe er
ah karena mereka semua lah indonesia menjadi banyak hutang.,ah karena mereka semua lah indonesia menjadi banyak hutang,ah indonesia hutang
menkeu baru dipelonco preman berdasi,menkeu baru dipelonco preman berdasi,menkeu dipelonco preman berdasi
"maaf, berani nggak dpr bikin undang undang korupsi 1000 rupiah pun koruptor di hukum mati",maaf berani nggak dpr bikin undang undang korupsi 1000 rupiah pun koruptor di hukum mati,maaf berani nggak dpr bikin undang undang korupsi 1000 rupiah koruptor hukum mati
"tuntutan bem, mohon dipangkai mana tak dana gaji dpr ri sampai ke dprd. dpr ri tak usahlah menerima dana yg pensunan gaji sudah besar.",tuntutan bem mohon dipangkai mana tak dana gaji dpr ri sampai ke dprd dpr ri tak usahlah menerima dana yg pensunan gaji sudah besar,tuntutan bem mohon dipangkai dana gaji dpr ri dprd dpr ri usahlah menerima dana yg pensunan gaji
"klaw ngomong nya dpr,,kaya udh betul aja krj nya,padahal hasil krj dpr selama ini gk jelas,,",klaw ngomong nya dprkaya udh betul aja krj nyapadahal hasil krj dpr selama ini gk jelas,klaw ngomong nya dprkaya udh aja krj nyapadahal hasil krj dpr gk
dpr penghambat negara yg ingin maju .ngga ada kontribusi buat rakyat malah ngeribetin,dpr penghambat negara yg ingin maju ngga ada kontribusi buat rakyat malah ngeribetin,dpr penghambat negara yg maju ngga kontribusi rakyat ngeribetin
dpr bisa apa 😂😂,dpr bisa apa,dpr
sepertinya pak purbaya dapat dukungan rakyat.,sepertinya pak purbaya dapat dukungan rakyat,purbaya dukungan rakyat
kalo mendengar pernyataan-pernyataan anggota dpr ini seolah mereka sangat peduli dengan nasib masyarakat padahal semua omong kosong😂,kalo mendengar pernyataanpernyataan anggota dpr ini seolah mereka sangat peduli dengan nasib masyarakat padahal semua omong kosong,kalo mendengar pernyataanpernyataan anggota dpr peduli nasib masyarakat omong kosong
"kenapa dpr gak nanya , pak menteri semangat anda perihal pertumbuhan ekonomi 6-7% kami dukung sekarang apa saja yang bisa komisi xi bantu pak untuk kita sama sama bisa mencapai pertumbuhan ekonomi yang diharapkan ? 

bukan malah mencecar & seolah ragu !!",kenapa dpr gak nanya pak menteri semangat anda perihal pertumbuhan ekonomi 67 kami dukung sekarang apa saja yang bisa komisi xi bantu pak untuk kita sama sama bisa mencapai pertumbuhan ekonomi yang diharapkan bukan malah mencecar seolah ragu,dpr gak nanya menteri semangat perihal pertumbuhan ekonomi 67 dukung komisi xi bantu mencapai pertumbuhan ekonomi diharapkan mencecar ragu
setuju,setuju,setuju
"dpr ngantuk bang itu dengerin penjelasan dari menkeu, krn kelamaan gabisa tidur soalnya direkam wkwk",dpr ngantuk bang itu dengerin penjelasan dari menkeu krn kelamaan gabisa tidur soalnya direkam wkwk,dpr ngantuk bang dengerin penjelasan menkeu krn gabisa tidur direkam wkwk
dpr sudah nutup rapat padahal bapak mentri belum selesei menjelaskan. dpr gk mutu rapat model apa. anggaran negara habis itu karena gaji kalian dpr,dpr sudah nutup rapat padahal bapak mentri belum selesei menjelaskan dpr gk mutu rapat model apa anggaran negara habis itu karena gaji kalian dpr,dpr nutup rapat mentri selesei dpr gk mutu rapat model anggaran negara habis gaji dpr
dpr itu hanya uang saja pikirannya heran tikus kantor. bapak mentri belum selesei rapat di tutup rapat macam apa gak mutu.,dpr itu hanya uang saja pikirannya heran tikus kantor bapak mentri belum selesei rapat di tutup rapat macam apa gak mutu,dpr uang pikirannya heran tikus kantor mentri selesei rapat tutup rapat gak mutu
1:27:48,12748,12748
"gak full loh, dimana bapak kemenkeunya??",gak full loh dimana bapak kemenkeunya,gak full loh dimana kemenkeunya
"280 hari di dpr, bikin deal² apa pak ?? 😅",280 hari di dpr bikin deal² apa pak,280 dpr bikin deal²
lah belom bubar ini dpr? ngapain dah ngga guna jg.,lah belom bubar ini dpr ngapain dah ngga guna jg,belom bubar dpr ngapain dah ngga jg
"pimpinan bawa-bawa partai mulu perasaan, harusnya dpr kalo udah jadi anggota urusan nya negara sama masyarakat aja",pimpinan bawabawa partai mulu perasaan harusnya dpr kalo udah jadi anggota urusan nya negara sama masyarakat aja,pimpinan bawabawa partai mulu perasaan dpr kalo udah anggota urusan nya negara masyarakat aja
"dpr gak pernah sadar diri, harusnya dpr yang berbenah. di dpr tu harus banyak efisiensi, mending fokus bagaimana mengatasi dan menghadapi koruptor, itu titik masalah besarnya yang merugikan rakyat dan negara",dpr gak pernah sadar diri harusnya dpr yang berbenah di dpr tu harus banyak efisiensi mending fokus bagaimana mengatasi dan menghadapi koruptor itu titik masalah besarnya yang merugikan rakyat dan negara,dpr gak sadar dpr berbenah dpr tu efisiensi mending fokus mengatasi menghadapi koruptor titik besarnya merugikan rakyat negara
yang beban negara tu dpr kurangi tunjangan dpr dan gajinya😅😅😅,yang beban negara tu dpr kurangi tunjangan dpr dan gajinya,beban negara tu dpr kurangi tunjangan dpr gajinya
"pintar ngececar ntu para dpr,prestasinya hanya korup besar-besaran atau korupsi berjama'ah.

kita tahu,kekaya'an alam indonesia itu udh banyak diperjual belikan pak.jika kekaya'an alam indonesia itu dikembangkan dgn bersih tanpa adanya oknum mafia saya yakin indonesia bakal hidup jauh dari kemiskinan loh pak.😢😢😢",pintar ngececar ntu para dprprestasinya hanya korup besarbesaran atau korupsi berjamaah kita tahukekayaan alam indonesia itu udh banyak diperjual belikan pakjika kekayaan alam indonesia itu dikembangkan dgn bersih tanpa adanya oknum mafia saya yakin indonesia bakal hidup jauh dari kemiskinan loh pak,pintar ngececar ntu dprprestasinya korup besarbesaran korupsi berjamaah tahukekayaan alam indonesia udh diperjual belikan pakjika kekayaan alam indonesia dikembangkan dgn bersih oknum mafia indonesia hidup kemiskinan loh
"hutang akan terbayar jika perampasan aset dilakukan,kenapa harus bingung pak dpr?bukannya yg di kotipsi itu triliunan yah?itu tiap kepala pejabat.bayar aja pak hutang negara dari hasil perampasan aset dari para koruptorrrrrrrrr",hutang akan terbayar jika perampasan aset dilakukankenapa harus bingung pak dprbukannya yg di kotipsi itu triliunan yahitu tiap kepala pejabatbayar aja pak hutang negara dari hasil perampasan aset dari para koruptorrrrrrrrr,hutang terbayar perampasan aset dilakukankenapa bingung dprbukannya yg kotipsi triliunan yahitu kepala pejabatbayar aja hutang negara hasil perampasan aset koruptorrrrrrrrr
"dpr bisa mengkritisi, tapi gak punya kaca😅",dpr bisa mengkritisi tapi gak punya kaca,dpr mengkritisi gak kaca
udah ga percaya sama dpr,udah ga percaya sama dpr,udah ga percaya dpr
"dpr aja yg di efisien kan, setuju kalau itu",dpr aja yg di efisien kan setuju kalau itu,dpr aja yg efisien setuju
"mereka semua cuma pintar ngebacottt, kenyataannya kita tetap susah",mereka semua cuma pintar ngebacottt kenyataannya kita tetap susah,pintar ngebacottt kenyataannya susah
baru kali ini gue nonton rapat dpr smpe selesai biasanya muak krn omongannya kosong dan muter2😊,baru kali ini gue nonton rapat dpr smpe selesai biasanya muak krn omongannya kosong dan muter2,kali gue nonton rapat dpr smpe selesai muak krn omongannya kosong muter2
"ini dpr sok tau tentang menejemen keuangan negara, merampok uang negara baru ahli 😂",ini dpr sok tau tentang menejemen keuangan negara merampok uang negara baru ahli,dpr sok tau menejemen keuangan negara merampok uang negara ahli
memang lucu dpr 😅😅,memang lucu dpr,lucu dpr
"dpr gaji nya sesuai umr saja, gak usah tinggi2",dpr gaji nya sesuai umr saja gak usah tinggi2,dpr gaji nya sesuai umr gak tinggi2
sudah yapping nya?,sudah yapping nya,yapping nya
hrsnya dihilangkan smua transfer bagi hasil kedaerah khususnya daerah yg dihuni bnyk industri. krn transfer bagi hasil kedaerah cuma menguntungkan parpol pengusung bupati terpilih dan bukan untuk membangun infrastruktur. hampir 98% pembangunan infrastruktur dinegara ini dilakukan oleh pusat. dana transfer daerah dipakai buat bancakan korupsi sja oleh bupati dan parpol🤮😡,hrsnya dihilangkan smua transfer bagi hasil kedaerah khususnya daerah yg dihuni bnyk industri krn transfer bagi hasil kedaerah cuma menguntungkan parpol pengusung bupati terpilih dan bukan untuk membangun infrastruktur hampir 98 pembangunan infrastruktur dinegara ini dilakukan oleh pusat dana transfer daerah dipakai buat bancakan korupsi sja oleh bupati dan parpol🤮,hrsnya dihilangkan smua transfer hasil kedaerah daerah yg dihuni bnyk industri krn transfer hasil kedaerah menguntungkan parpol pengusung bupati terpilih membangun infrastruktur 98 pembangunan infrastruktur dinegara pusat dana transfer daerah dipakai bancakan korupsi sja bupati parpol🤮
dpr itu cuman bagus mulutnya aja isinya maling semua,dpr itu cuman bagus mulutnya aja isinya maling semua,dpr cuman bagus mulutnya aja isinya maling
"kalau emang anggaran pendidikan tidak tepat sasaran

periksa dinas2 terkait, kepala sekolah, bendahara sekolah

dinas pendidikan disitu ada lingkaran korupsi

lah kok menyalahkan mentri keuangan bukan ke dinas terkait
aneh",kalau emang anggaran pendidikan tidak tepat sasaran periksa dinas2 terkait kepala sekolah bendahara sekolah dinas pendidikan disitu ada lingkaran korupsi lah kok menyalahkan mentri keuangan bukan ke dinas terkait aneh,emang anggaran pendidikan sasaran periksa dinas2 terkait kepala sekolah bendahara sekolah dinas pendidikan disitu lingkaran korupsi menyalahkan mentri keuangan dinas terkait aneh
"mekang suruh jadi menkeu coba, otak nya mampu gak tuh ? 😅",mekang suruh jadi menkeu coba otak nya mampu gak tuh,mekang suruh menkeu coba otak nya gak tuh
"ih ternyata seperti ini kinerja dpr ri ? wkwk
mereka hanya terpacu pada dokumen hasil dokumen ?",ih ternyata seperti ini kinerja dpr ri wkwk mereka hanya terpacu pada dokumen hasil dokumen,ih kinerja dpr ri wkwk terpacu dokumen hasil dokumen
dpr udah tau ada utang jatuh tempo 1300 t malah minta tambahan tunjangan😅 sok2an cerca menkeu baru padahal yg bikin rusak ekonomi partainya sendiri😂,dpr udah tau ada utang jatuh tempo 1300 t malah minta tambahan tunjangan sok2an cerca menkeu baru padahal yg bikin rusak ekonomi partainya sendiri,dpr udah tau utang jatuh tempo 1300 t tambahan tunjangan sok2an cerca menkeu yg bikin rusak ekonomi partainya
"dpr anjeeeeeeeeeeeng kalian pesimis aja, kalian saja yang bubar",dpr anjeeeeeeeeeeeng kalian pesimis aja kalian saja yang bubar,dpr anjeeeeeeeeeeeng pesimis aja bubar
bapak botak aneh banget wkwk sekelas dpr tapi males baca. gimana ceritanya hahaa,bapak botak aneh banget wkwk sekelas dpr tapi males baca gimana ceritanya hahaa,botak aneh banget wkwk sekelas dpr males baca gimana ceritanya hahaa
"menit 14.30
pendapat dari bapak2 botak wkwk dia seakan tau segalanya. tapi perkataannya sungguh tidak tepat ditujukan kepada orang yang baru bekerja 2 hari hahaaa
dia mau belagak pintar, tapi malah jadi terlihat sangat sangat bodoh hahaaa",menit 1430 pendapat dari bapak2 botak wkwk dia seakan tau segalanya tapi perkataannya sungguh tidak tepat ditujukan kepada orang yang baru bekerja 2 hari hahaaa dia mau belagak pintar tapi malah jadi terlihat sangat sangat bodoh hahaaa,menit 1430 pendapat bapak2 botak wkwk seakan tau perkataannya sungguh orang 2 hahaaa belagak pintar bodoh hahaaa
"alhamdulillah ya alloh ya robb engkau telah menunjukkan lagi orang cerdas di indonesia, untuk menolong bangsa indonesia, jazakallohu khoir pak menkue, sistem bapak seperti sistem zakat",alhamdulillah ya alloh ya robb engkau telah menunjukkan lagi orang cerdas di indonesia untuk menolong bangsa indonesia jazakallohu khoir pak menkue sistem bapak seperti sistem zakat,alhamdulillah ya alloh ya robb engkau orang cerdas indonesia menolong bangsa indonesia jazakallohu khoir menkue sistem sistem zakat
mana neh yg bilang ihsg turun? noh real action 200t masuk sistem reaksi pasar instant ihsg ditutup naik 100poin minggu depan jelas range 8000,mana neh yg bilang ihsg turun noh real action 200t masuk sistem reaksi pasar instant ihsg ditutup naik 100poin minggu depan jelas range 8000,neh yg bilang ihsg turun noh real action 200t masuk sistem reaksi pasar instant ihsg ditutup 100poin minggu range 8000
"pak mentri anda tau pak,yg cuap2 depan anda itu lah yg menghambat pertumbuhan ekonomi,brantas mereka dlu pak,ada kan audit ekonomi kita tapi bertambah drastis pak.",pak mentri anda tau pakyg cuap2 depan anda itu lah yg menghambat pertumbuhan ekonomibrantas mereka dlu pakada kan audit ekonomi kita tapi bertambah drastis pak,mentri tau pakyg cuap2 yg menghambat pertumbuhan ekonomibrantas dlu pakada audit ekonomi bertambah drastis
anak2 sma dapet materi kuliah s2/s3 😢,anak2 sma dapet materi kuliah s2s3,anak2 sma dapet materi kuliah s2s3
dpr bxk rapat nol kerja😂,dpr bxk rapat nol kerja,dpr bxk rapat nol kerja
sahkan uu perampasan aset,sahkan uu perampasan aset,sahkan uu perampasan aset
orang pejabat daerah kebanyakan korup boro boro naikin perkembangan daerah,orang pejabat daerah kebanyakan korup boro boro naikin perkembangan daerah,orang pejabat daerah kebanyakan korup boro boro naikin perkembangan daerah
"gambaran simple pola fikir pak mentri adalah;   fokus beli beras buat keluarga dari pada genjot bangun rumah tapi gak bisa beli beras.  jadi bisnis dalam negeri di genjot di maksimalkan dan di targetkan market nasional dan luar negeri. 
perusahaan bumn di genjot untuk ambil untung buat bayar utang negara dan genjot pengusaha swasta untuk membuka lapangan kerja baru dan meningkatkan daya beli masyarakat.",gambaran simple pola fikir pak mentri adalah fokus beli beras buat keluarga dari pada genjot bangun rumah tapi gak bisa beli beras jadi bisnis dalam negeri di genjot di maksimalkan dan di targetkan market nasional dan luar negeri perusahaan bumn di genjot untuk ambil untung buat bayar utang negara dan genjot pengusaha swasta untuk membuka lapangan kerja baru dan meningkatkan daya beli masyarakat,gambaran simple pola fikir mentri fokus beli beras keluarga genjot bangun rumah gak beli beras bisnis negeri genjot maksimalkan targetkan market nasional negeri perusahaan bumn genjot ambil untung bayar utang negara genjot pengusaha swasta membuka lapangan kerja meningkatkan daya beli masyarakat
persoalann nya adalah dari yg doyan duit😅😅,persoalann nya adalah dari yg doyan duit,persoalann nya yg doyan duit
kayaknya orang orang ketakutan sama menkew yang baru. karena jatah bagi bagi uang di mereka akan kurang,kayaknya orang orang ketakutan sama menkew yang baru karena jatah bagi bagi uang di mereka akan kurang,kayaknya orang orang ketakutan menkew jatah uang
🐀 dpr 🐀🐀🐀,dpr,dpr
apakah percaya akan bertambah baik?,apakah percaya akan bertambah baik,percaya bertambah
dpr selama ini kemana aja nenek lampir bikin pajak seenak udelnya..sekarang baru tanya2:face-fuchsia-poop-shape:,dpr selama ini kemana aja nenek lampir bikin pajak seenak udelnyasekarang baru tanya2facefuchsiapoopshape,dpr kemana aja nenek lampir bikin pajak seenak udelnyasekarang tanya2facefuchsiapoopshape
"mudah aja sih botak, ngangkat pertumbuhan ekonomi, asalkan gada yang korupsi, pikir coba tak korupsi bisa sampe 3000t",mudah aja sih botak ngangkat pertumbuhan ekonomi asalkan gada yang korupsi pikir coba tak korupsi bisa sampe 3000t,mudah aja sih botak ngangkat pertumbuhan ekonomi gada korupsi pikir coba korupsi sampe 3000t
"info menit"" krusial dong bang",info menit krusial dong bang,info menit krusial bang
misbakhun mantan napi pemalsuan,misbakhun mantan napi pemalsuan,misbakhun mantan napi pemalsuan
mencerdaskan jgn korupsi dan luncur uu perampasan uang korupsi juga hukuman mati bg korup wahai komisi,mencerdaskan jgn korupsi dan luncur uu perampasan uang korupsi juga hukuman mati bg korup wahai komisi,mencerdaskan jgn korupsi luncur uu perampasan uang korupsi hukuman mati bg korup komisi
yang pake kacamata cewek itu kayaknya paling banyak nerima korupsi itu,yang pake kacamata cewek itu kayaknya paling banyak nerima korupsi itu,pake kacamata cewek kayaknya nerima korupsi
gimana mau naik kalo korupsi masih banyak aneh,gimana mau naik kalo korupsi masih banyak aneh,gimana kalo korupsi aneh
"hemat hemot hemat hemot, eh kunjungan kerja luar negeri 😅",hemat hemot hemat hemot eh kunjungan kerja luar negeri,hemat hemot hemat hemot eh kunjungan kerja negeri
"smua dpr pintar kali ngomong,,,, tpi mereka juga gk mau pangkas anggaran buat dpr,,,, diancok",smua dpr pintar kali ngomong tpi mereka juga gk mau pangkas anggaran buat dpr diancok,smua dpr pintar kali ngomong tpi gk pangkas anggaran dpr diancok
52 trilyun setara burning buds tapi mutationnya ada 10,52 trilyun setara burning buds tapi mutationnya ada 10,52 trilyun setara burning buds mutationnya 10
utang besar manfaat ke rakyat ga ada kebanyakan di korupsi  yg bayar utang rakyat giliran rakyat bersuara dibungkam semoga rezim sekarang ga begitu ya,utang besar manfaat ke rakyat ga ada kebanyakan di korupsi yg bayar utang rakyat giliran rakyat bersuara dibungkam semoga rezim sekarang ga begitu ya,utang manfaat rakyat ga kebanyakan korupsi yg bayar utang rakyat giliran rakyat bersuara dibungkam semoga rezim ga ya
"solusi dari rakyat jelata :  sahkan ruu perampasan aset korupsi , harta atau aset di masukkan kas negara dan dialokasikan untuk meningkatkan kesejahteraan rakyat ( melunasi hutang, dll )

total aset korupsi yg dapat dirampas untuk masuk kas negara :
779 t lebih , hal ini sangat bisa membantu untuk memperbaiki perekonomian ri

sdh ada bukti dana yg di korupsi, dan sdh ada rancangan pengesahaan perampasan aset korupsi, tinggal di acc,  yg tujuannya untuk kesejahteraan rakyat, kok ya ga direalisai??? muter muter dengan permasalahan , ga segera di acc???

kasarannya sdh ada peluru untuk menyelesaikan masalah  , kok ya muter ae ditempat",solusi dari rakyat jelata sahkan ruu perampasan aset korupsi harta atau aset di masukkan kas negara dan dialokasikan untuk meningkatkan kesejahteraan rakyat melunasi hutang dll total aset korupsi yg dapat dirampas untuk masuk kas negara 779 t lebih hal ini sangat bisa membantu untuk memperbaiki perekonomian ri sdh ada bukti dana yg di korupsi dan sdh ada rancangan pengesahaan perampasan aset korupsi tinggal di acc yg tujuannya untuk kesejahteraan rakyat kok ya ga direalisai muter muter dengan permasalahan ga segera di acc kasarannya sdh ada peluru untuk menyelesaikan masalah kok ya muter ae ditempat,solusi rakyat jelata sahkan ruu perampasan aset korupsi harta aset masukkan kas negara dialokasikan meningkatkan kesejahteraan rakyat melunasi hutang dll total aset korupsi yg dirampas masuk kas negara 779 t membantu memperbaiki perekonomian ri sdh bukti dana yg korupsi sdh rancangan pengesahaan perampasan aset korupsi tinggal acc yg tujuannya kesejahteraan rakyat ya ga direalisai muter muter permasalahan ga acc kasarannya sdh peluru menyelesaikan ya muter ae ditempat
"jgn banyak ngomong pak  , 😂😂😂",jgn banyak ngomong pak,jgn ngomong
"srimulyani dibenaku adalah pahlawan negara /srikandi moneter dipenghujung riba , likuidasi bank dan hiruk pikuk pendidikan sebangsa thabiat",srimulyani dibenaku adalah pahlawan negara srikandi moneter dipenghujung riba likuidasi bank dan hiruk pikuk pendidikan sebangsa thabiat,srimulyani dibenaku pahlawan negara srikandi moneter dipenghujung riba likuidasi bank hiruk pikuk pendidikan sebangsa thabiat
"jadi tau alasan kenapa sri dipake terus, ibarat emak yg mankain ke anak2 nya sering ngasi jajan dan nurut terus apa yg dimau sama si anak🤣",jadi tau alasan kenapa sri dipake terus ibarat emak yg mankain ke anak2 nya sering ngasi jajan dan nurut terus apa yg dimau sama si anak🤣,tau alasan sri dipake emak yg mankain anak2 nya ngasi jajan nurut yg dimau si anak🤣
"gampang kalau mau uang apbn gak ludes, rakyat tetap tumbuh dgn sendirinya, stop anggaran ""yang gak jelas, setiap anggaran yang di keluarkan telusuri sampai tujuan, 1×10=10, jangan sampai 1×10=5, (5) lagi kemana?? itu harus dicari nyangkut dimana??",gampang kalau mau uang apbn gak ludes rakyat tetap tumbuh dgn sendirinya stop anggaran yang gak jelas setiap anggaran yang di keluarkan telusuri sampai tujuan 1×1010 jangan sampai 1×105 5 lagi kemana itu harus dicari nyangkut dimana,gampang uang apbn gak ludes rakyat tumbuh dgn stop anggaran gak anggaran keluarkan telusuri tujuan 1×1010 1×105 5 kemana dicari nyangkut dimana
kayak you dpr punya kemampuan ajah 😂😂,kayak you dpr punya kemampuan ajah,kayak you dpr kemampuan ajah
"enek gw denger karyawan rakyat sok keras ngingetin efisiensi, lu aja gak guna selama ini di dpr. ngaca ngaca lu cuma beban negara doang",enek gw denger karyawan rakyat sok keras ngingetin efisiensi lu aja gak guna selama ini di dpr ngaca ngaca lu cuma beban negara doang,enek gw denger karyawan rakyat sok keras ngingetin efisiensi lu aja gak dpr ngaca ngaca lu beban negara doang
"dpr bisa nya komplen ama ngomel ngomel, apa sih bentak bentak gitu.",dpr bisa nya komplen ama ngomel ngomel apa sih bentak bentak gitu,dpr nya komplen ama ngomel ngomel sih bentak bentak gitu
"kawal secara transparan dengan rakyat, dana korupsi yg sdh disita negara, untuk realisasi dananya",kawal secara transparan dengan rakyat dana korupsi yg sdh disita negara untuk realisasi dananya,kawal transparan rakyat dana korupsi yg sdh disita negara realisasi dananya
"kita perlu langkah kongkrit, bukan jalan ditempat

sdh ada peluru meningkatkan kesejahteraan rakyat, kok ya muter ae ga di acc??? mau nambah dosa lebih lama lagi ta????",kita perlu langkah kongkrit bukan jalan ditempat sdh ada peluru meningkatkan kesejahteraan rakyat kok ya muter ae ga di acc mau nambah dosa lebih lama lagi ta,langkah kongkrit jalan ditempat sdh peluru meningkatkan kesejahteraan rakyat ya muter ae ga acc nambah dosa ta
